NC_026250,NC_026250.1 Thaumetopoea pityocampa iflavirus 1 polyprotein gene; complete cds,19,invertebrates
NC_028369,NC_028369.1 Shayang spider virus 4 strain SYZZ-1 polyprotein gene; complete cds,11,invertebrates
NC_043054,NC_043054.1 Bubaline alphaherpesvirus 1 strain b6; complete genome,2,vertebrates
NC_030144,NC_030144.1 Faeces associated gemycircularvirus 16 isolate 47_Fec80064_sheep; complete sequence,1,vertebrates
